kpi_name,model_type,model_name,split_id,mae,rmse,mape,n_train,n_test
Subway Wait Assessment - A Line,TS,Prophet,2,2.828772922991765,3.0327264303589994,3.8795179604982395,25,6
Subway Wait Assessment - A Line,TS,SARIMA,2,0.432572264635193,0.604925174209958,0.5908785418775948,25,6
Total Ridership - NYCT Bus ,TS,Prophet,1,1431301.6170222734,1618468.6987378455,2.5888891896392914,36,6
Total Ridership - NYCT Bus ,TS,SARIMA,1,3747840.72594667,4155346.218757558,6.740698396273665,36,6
Total Ridership - NYCT Bus ,TS,Prophet,2,2234292.074161327,2472335.488478365,3.97316449640888,37,6
Total Ridership - NYCT Bus ,TS,SARIMA,2,2297478.732885609,2484811.280777159,4.146275556852997,37,6
Jamaica Depot - % of Completed Trips,TS,Prophet,1,1.532716700910747,1.8939194416749467,1.5624588872547631,36,6
Jamaica Depot - % of Completed Trips,TS,SARIMA,1,0.9251563724409735,1.2072237724411385,0.9429273411192598,36,6
Jamaica Depot - % of Completed Trips,TS,Prophet,2,1.3441045348374818,1.605708584507634,1.362961546235542,37,6
Jamaica Depot - % of Completed Trips,TS,SARIMA,2,1.4160947379511153,1.6970055276941978,1.442590014467325,37,6
OTP (Terminal) - S Line Rock,TS,Prophet,1,26.34539882351467,28.877201391624364,27.41268158324938,17,6
OTP (Terminal) - S Line Rock,TS,SARIMA,1,3.8522641622785656,4.262260599528478,4.043282876388135,17,6
OTP (Terminal) - S Line Rock,TS,Prophet,2,7.434524346869805,7.856441878978557,7.753647352971199,18,6
OTP (Terminal) - S Line Rock,TS,SARIMA,2,1.4092940527647972,1.5664699332331222,1.4714088991562277,18,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,TS,Prophet,1,7447.577880689741,10331.128992357038,9.58759529429925,36,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,TS,SARIMA,1,11670.056965359725,12466.091385647207,12.630928107086278,36,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,TS,Prophet,2,8242.88920343086,10440.613918479246,7.186136562754597,37,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,TS,SARIMA,2,21778.98904202598,22673.794115755933,20.93994227970044,37,6
% of Completed Trips - MTA Bus,TS,Prophet,1,1.3657511703965568,1.5064233297240541,1.4050961225368184,36,6
% of Completed Trips - MTA Bus,TS,SARIMA,1,1.093582119508433,1.1744784209141212,1.1276119926204344,36,6
% of Completed Trips - MTA Bus,TS,Prophet,2,1.4499388262281083,1.6544452140758403,1.4872638222544052,37,6
% of Completed Trips - MTA Bus,TS,SARIMA,2,0.9181577912536009,1.0622571824421152,0.9424695979966525,37,6
Customer Accident Injury Rate - NYCT Bus,ML,RandomForest,1,14630.428306022466,23982.144898895687,33.946339367881464,36,6
Customer Accident Injury Rate - NYCT Bus,ML,XGBoost,1,39193.67849414408,57516.7095394746,13.998996632720115,40,6
Customer Accident Injury Rate - NYCT Bus,ML,LinearRegression,1,135097.61938300208,219512.49502598128,10.823379771832098,31,6
Customer Accident Injury Rate - NYCT Bus,ML,RandomForest,2,15658.030569613053,25572.683991961883,47.54210836063001,31,6
Customer Accident Injury Rate - NYCT Bus,ML,XGBoost,2,37567.91153593769,51939.34124452473,30.990257265289515,41,6
Customer Accident Injury Rate - NYCT Bus,ML,LinearRegression,2,123926.05369644615,150426.085630167,30.990986410335566,39,6
Port Jervis Line - OTP ,ML,RandomForest,1,13134.912063828448,20635.361989049277,25.29847965068651,49,6
Port Jervis Line - OTP ,ML,XGBoost,1,39065.664417526146,60764.63854696217,11.85801650879991,48,6
Port Jervis Line - OTP ,ML,LinearRegression,1,123035.15723304986,148621.4226288565,47.68807022739411,43,6
Port Jervis Line - OTP ,ML,RandomForest,2,17462.542542718413,29425.054901004765,22.184550766934827,50,6
Port Jervis Line - OTP ,ML,XGBoost,2,36139.617382783224,58183.27014451957,34.399866311304834,37,6
Port Jervis Line - OTP ,ML,LinearRegression,2,119236.26989363659,145543.73926332622,46.372816083151285,33,6
Elevator Availability,ML,RandomForest,1,14769.225653562082,21490.604613253723,18.317666514727552,33,6
Elevator Availability,ML,XGBoost,1,36362.73274811705,47668.367195884515,48.783385110582344,55,6
Elevator Availability,ML,LinearRegression,1,98236.98629764437,172503.68813811862,39.09087983425684,44,6
Elevator Availability,ML,RandomForest,2,11549.20718353033,14472.259564468359,17.83931449676581,54,6
Elevator Availability,ML,XGBoost,2,41202.43020115105,63948.2606106065,48.61021229056552,57,6
Elevator Availability,ML,LinearRegression,2,155538.56674021113,237292.3826582296,15.636968998990506,44,6
JFK Depot - % of Completed Trips,ML,RandomForest,1,9885.646455586966,13603.567947199195,10.563192908603378,48,6
JFK Depot - % of Completed Trips,ML,XGBoost,1,33051.08930556851,53678.750285364935,39.160286721639494,30,6
JFK Depot - % of Completed Trips,ML,LinearRegression,1,141388.60388816442,224899.24766142457,46.59838702175123,38,6
JFK Depot - % of Completed Trips,ML,RandomForest,2,13984.204127329609,22010.84189543878,23.235920994105967,45,6
JFK Depot - % of Completed Trips,ML,XGBoost,2,47229.70642716196,75546.43815639129,33.651911508309084,51,6
JFK Depot - % of Completed Trips,ML,LinearRegression,2,114053.52498189945,197578.07439809252,28.888597006477973,34,6
Subway Wait Assessment - A Line,ML,RandomForest,1,11769.4743181759,15931.642910873748,11.617343581537254,44,6
Subway Wait Assessment - A Line,ML,XGBoost,1,43806.04093826969,63804.57673772611,11.016765069763807,42,6
Subway Wait Assessment - A Line,ML,LinearRegression,1,133169.3361716589,197786.0456401518,32.53102287905534,33,6
Subway Wait Assessment - A Line,ML,RandomForest,2,13410.157497307211,23394.554609543455,19.971689165955,42,6
Subway Wait Assessment - A Line,ML,XGBoost,2,32792.01768492221,57901.26379792427,33.95461865954144,48,6
Subway Wait Assessment - A Line,ML,LinearRegression,2,133767.05477447752,173460.12378712394,47.18790609370292,42,6
Total Ridership - NYCT Bus ,ML,RandomForest,1,12416.35596530533,18300.72460091655,18.737617488673344,49,6
Total Ridership - NYCT Bus ,ML,XGBoost,1,38304.17051595114,66478.24386336538,31.573689676626028,55,6
Total Ridership - NYCT Bus ,ML,LinearRegression,1,125997.62225082995,219752.0831555104,20.88528997538541,56,6
Total Ridership - NYCT Bus ,ML,RandomForest,2,11913.803891503343,17349.65173034014,42.72059063689972,38,6
Total Ridership - NYCT Bus ,ML,XGBoost,2,35533.47522719463,54027.002164123965,29.393198854359326,30,6
Total Ridership - NYCT Bus ,ML,LinearRegression,2,123312.35170552714,156843.35024701053,23.504606856145116,44,6
Jamaica Depot - % of Completed Trips,ML,RandomForest,1,12670.754642497413,19447.84969082589,26.15344684232163,59,6
Jamaica Depot - % of Completed Trips,ML,XGBoost,1,37035.85825800798,66037.49999360475,48.497891797684446,59,6
Jamaica Depot - % of Completed Trips,ML,LinearRegression,1,147212.9053455891,189735.67073599616,49.90961940195768,56,6
Jamaica Depot - % of Completed Trips,ML,RandomForest,2,15646.973761405265,24499.070797489472,30.10716092915446,51,6
Jamaica Depot - % of Completed Trips,ML,XGBoost,2,39484.563323237555,62409.7274913102,37.22821806219067,50,6
Jamaica Depot - % of Completed Trips,ML,LinearRegression,2,127291.29802533682,190131.4039370932,49.42601816442403,52,6
OTP (Terminal) - S Line Rock,ML,RandomForest,1,15922.645629030041,21377.46579552246,39.12865394447438,53,6
OTP (Terminal) - S Line Rock,ML,XGBoost,1,43644.66516343387,64689.26642604936,49.33692563579372,51,6
OTP (Terminal) - S Line Rock,ML,LinearRegression,1,117702.38772205346,200233.12418709017,22.83120259886943,35,6
OTP (Terminal) - S Line Rock,ML,RandomForest,2,13790.789897169143,22306.43281233053,44.33435219254879,57,6
OTP (Terminal) - S Line Rock,ML,XGBoost,2,32131.682844669336,50996.311902471265,16.97465716019966,30,6
OTP (Terminal) - S Line Rock,ML,LinearRegression,2,131940.4446220904,189802.03108546298,30.710054021099204,37,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,RandomForest,1,12860.471202046772,16308.159213721789,46.98774473114251,59,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,XGBoost,1,35457.43813085576,57351.36513234264,19.142000871891987,45,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,LinearRegression,1,134323.89901906194,203875.5173043623,19.67409163601807,45,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,RandomForest,2,16251.285508564855,28915.12591825042,32.331738144283904,56,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,XGBoost,2,36878.01377214137,59750.29994606738,43.866445689532235,49,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,LinearRegression,2,118212.78464702805,204774.31543740633,41.19502183430495,53,6
% of Completed Trips - MTA Bus,ML,RandomForest,1,14943.096622099521,23138.069721290707,24.891310662469724,54,6
% of Completed Trips - MTA Bus,ML,XGBoost,1,45398.43732731356,72551.29088162452,10.202463353848747,43,6
% of Completed Trips - MTA Bus,ML,LinearRegression,1,158898.61766717135,252835.78694511234,18.970772378422392,30,6
% of Completed Trips - MTA Bus,ML,RandomForest,2,14584.665841823575,17659.772893169385,29.755748607337384,45,6
% of Completed Trips - MTA Bus,ML,XGBoost,2,43734.88679965397,74766.27799493213,36.30451569201374,30,6
% of Completed Trips - MTA Bus,ML,LinearRegression,2,149937.84283605852,228733.7984959779,30.3525630735504,51,6
Customer Accident Injury Rate - NYCT Bus,ML,RandomForest,1,14630.428306022466,23982.144898895687,33.946339367881464,36,6
Customer Accident Injury Rate - NYCT Bus,ML,XGBoost,1,39193.67849414408,57516.7095394746,13.998996632720115,40,6
Customer Accident Injury Rate - NYCT Bus,ML,LinearRegression,1,135097.61938300208,219512.49502598128,10.823379771832098,31,6
Customer Accident Injury Rate - NYCT Bus,ML,RandomForest,2,15658.030569613053,25572.683991961883,47.54210836063001,31,6
Customer Accident Injury Rate - NYCT Bus,ML,XGBoost,2,37567.91153593769,51939.34124452473,30.990257265289515,41,6
Customer Accident Injury Rate - NYCT Bus,ML,LinearRegression,2,123926.05369644615,150426.085630167,30.990986410335566,39,6
Port Jervis Line - OTP ,ML,RandomForest,1,13134.912063828448,20635.361989049277,25.29847965068651,49,6
Port Jervis Line - OTP ,ML,XGBoost,1,39065.664417526146,60764.63854696217,11.85801650879991,48,6
Port Jervis Line - OTP ,ML,LinearRegression,1,123035.15723304986,148621.4226288565,47.68807022739411,43,6
Port Jervis Line - OTP ,ML,RandomForest,2,17462.542542718413,29425.054901004765,22.184550766934827,50,6
Port Jervis Line - OTP ,ML,XGBoost,2,36139.617382783224,58183.27014451957,34.399866311304834,37,6
Port Jervis Line - OTP ,ML,LinearRegression,2,119236.26989363659,145543.73926332622,46.372816083151285,33,6
Elevator Availability,ML,RandomForest,1,14769.225653562082,21490.604613253723,18.317666514727552,33,6
Elevator Availability,ML,XGBoost,1,36362.73274811705,47668.367195884515,48.783385110582344,55,6
Elevator Availability,ML,LinearRegression,1,98236.98629764437,172503.68813811862,39.09087983425684,44,6
Elevator Availability,ML,RandomForest,2,11549.20718353033,14472.259564468359,17.83931449676581,54,6
Elevator Availability,ML,XGBoost,2,41202.43020115105,63948.2606106065,48.61021229056552,57,6
Elevator Availability,ML,LinearRegression,2,155538.56674021113,237292.3826582296,15.636968998990506,44,6
JFK Depot - % of Completed Trips,ML,RandomForest,1,9885.646455586966,13603.567947199195,10.563192908603378,48,6
JFK Depot - % of Completed Trips,ML,XGBoost,1,33051.08930556851,53678.750285364935,39.160286721639494,30,6
JFK Depot - % of Completed Trips,ML,LinearRegression,1,141388.60388816442,224899.24766142457,46.59838702175123,38,6
JFK Depot - % of Completed Trips,ML,RandomForest,2,13984.204127329609,22010.84189543878,23.235920994105967,45,6
JFK Depot - % of Completed Trips,ML,XGBoost,2,47229.70642716196,75546.43815639129,33.651911508309084,51,6
JFK Depot - % of Completed Trips,ML,LinearRegression,2,114053.52498189945,197578.07439809252,28.888597006477973,34,6
Subway Wait Assessment - A Line,ML,RandomForest,1,11769.4743181759,15931.642910873748,11.617343581537254,44,6
Subway Wait Assessment - A Line,ML,XGBoost,1,43806.04093826969,63804.57673772611,11.016765069763807,42,6
Subway Wait Assessment - A Line,ML,LinearRegression,1,133169.3361716589,197786.0456401518,32.53102287905534,33,6
Subway Wait Assessment - A Line,ML,RandomForest,2,13410.157497307211,23394.554609543455,19.971689165955,42,6
Subway Wait Assessment - A Line,ML,XGBoost,2,32792.01768492221,57901.26379792427,33.95461865954144,48,6
Subway Wait Assessment - A Line,ML,LinearRegression,2,133767.05477447752,173460.12378712394,47.18790609370292,42,6
Total Ridership - NYCT Bus ,ML,RandomForest,1,12416.35596530533,18300.72460091655,18.737617488673344,49,6
Total Ridership - NYCT Bus ,ML,XGBoost,1,38304.17051595114,66478.24386336538,31.573689676626028,55,6
Total Ridership - NYCT Bus ,ML,LinearRegression,1,125997.62225082995,219752.0831555104,20.88528997538541,56,6
Total Ridership - NYCT Bus ,ML,RandomForest,2,11913.803891503343,17349.65173034014,42.72059063689972,38,6
Total Ridership - NYCT Bus ,ML,XGBoost,2,35533.47522719463,54027.002164123965,29.393198854359326,30,6
Total Ridership - NYCT Bus ,ML,LinearRegression,2,123312.35170552714,156843.35024701053,23.504606856145116,44,6
Jamaica Depot - % of Completed Trips,ML,RandomForest,1,12670.754642497413,19447.84969082589,26.15344684232163,59,6
Jamaica Depot - % of Completed Trips,ML,XGBoost,1,37035.85825800798,66037.49999360475,48.497891797684446,59,6
Jamaica Depot - % of Completed Trips,ML,LinearRegression,1,147212.9053455891,189735.67073599616,49.90961940195768,56,6
Jamaica Depot - % of Completed Trips,ML,RandomForest,2,15646.973761405265,24499.070797489472,30.10716092915446,51,6
Jamaica Depot - % of Completed Trips,ML,XGBoost,2,39484.563323237555,62409.7274913102,37.22821806219067,50,6
Jamaica Depot - % of Completed Trips,ML,LinearRegression,2,127291.29802533682,190131.4039370932,49.42601816442403,52,6
OTP (Terminal) - S Line Rock,ML,RandomForest,1,15922.645629030041,21377.46579552246,39.12865394447438,53,6
OTP (Terminal) - S Line Rock,ML,XGBoost,1,43644.66516343387,64689.26642604936,49.33692563579372,51,6
OTP (Terminal) - S Line Rock,ML,LinearRegression,1,117702.38772205346,200233.12418709017,22.83120259886943,35,6
OTP (Terminal) - S Line Rock,ML,RandomForest,2,13790.789897169143,22306.43281233053,44.33435219254879,57,6
OTP (Terminal) - S Line Rock,ML,XGBoost,2,32131.682844669336,50996.311902471265,16.97465716019966,30,6
OTP (Terminal) - S Line Rock,ML,LinearRegression,2,131940.4446220904,189802.03108546298,30.710054021099204,37,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,RandomForest,1,12860.471202046772,16308.159213721789,46.98774473114251,59,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,XGBoost,1,35457.43813085576,57351.36513234264,19.142000871891987,45,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,LinearRegression,1,134323.89901906194,203875.5173043623,19.67409163601807,45,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,RandomForest,2,16251.285508564855,28915.12591825042,32.331738144283904,56,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,XGBoost,2,36878.01377214137,59750.29994606738,43.866445689532235,49,6
 Bus Passenger Wheelchair Lift Usage - NYCT Bus,ML,LinearRegression,2,118212.78464702805,204774.31543740633,41.19502183430495,53,6
% of Completed Trips - MTA Bus,ML,RandomForest,1,14943.096622099521,23138.069721290707,24.891310662469724,54,6
% of Completed Trips - MTA Bus,ML,XGBoost,1,45398.43732731356,72551.29088162452,10.202463353848747,43,6
% of Completed Trips - MTA Bus,ML,LinearRegression,1,158898.61766717135,252835.78694511234,18.970772378422392,30,6
% of Completed Trips - MTA Bus,ML,RandomForest,2,14584.665841823575,17659.772893169385,29.755748607337384,45,6
% of Completed Trips - MTA Bus,ML,XGBoost,2,43734.88679965397,74766.27799493213,36.30451569201374,30,6
% of Completed Trips - MTA Bus,ML,LinearRegression,2,149937.84283605852,228733.7984959779,30.3525630735504,51,6
